question,option_a,option_b,option_c,option_d,correct_option,explanation,exam,topic,subtopic,difficulty,type,year,tags
Which Article of the Indian Constitution guarantees equality before law and equal protection of the laws?,Article 14,Article 19,Article 21,Article 32,0,Article 14 is the equality clause under Fundamental Rights.,UPSC,Polity,Fundamental Rights,Easy,PYQ,2018,article-14|equality
Which Article provides the freedoms including speech and expression?,Article 18,Article 19,Article 21,Article 25,1,Article 19 provides key freedoms such as speech and expression.,UPSC,Polity,Fundamental Rights,Easy,PYQ,2019,article-19|freedoms
Protection of life and personal liberty is guaranteed under which Article?,Article 20,Article 22,Article 21,Article 32,2,Article 21 protects life and personal liberty.,SSC,Polity,Fundamental Rights,Easy,PYQ,2020,article-21|liberty
Right to Education for children aged 6 to 14 years is provided under which Article?,Article 24,Article 30,Article 45,Article 21A,3,Article 21A made elementary education a fundamental right.,TSPSC,Polity,Fundamental Rights,Easy,PYQ,2019,article-21a|education
Which Article is known as the Right to Constitutional Remedies?,Article 32,Article 19,Article 21,Article 226,0,Article 32 allows a person to approach the Supreme Court for enforcement of Fundamental Rights.,APPSC,Polity,Fundamental Rights,Easy,PYQ,2017,article-32|constitutional-remedies
The procedure for amendment of the Constitution is laid down in which Article?,Article 356,Article 368,Article 352,Article 370,1,Article 368 deals with constitutional amendment.,UPSC,Polity,Constitutional Amendments,Medium,PYQ,2018,article-368|amendment
The Anti-Defection Law is contained in which Schedule of the Constitution?,Eighth Schedule,Ninth Schedule,Tenth Schedule,Twelfth Schedule,2,The Tenth Schedule deals with defection by legislators.,UPSC,Polity,Schedules,Medium,PYQ,2019,tenth-schedule|anti-defection
Which Schedule of the Constitution lists the recognised languages of India?,Sixth Schedule,Ninth Schedule,Eleventh Schedule,Eighth Schedule,3,The Eighth Schedule contains the recognised languages of India.,SSC,Polity,Schedules,Easy,PYQ,2021,eighth-schedule|languages
Subjects of Panchayats are listed in which Schedule?,Eleventh Schedule,Ninth Schedule,Tenth Schedule,Twelfth Schedule,0,The Eleventh Schedule covers Panchayati Raj subjects.,TSPSC,Polity,Local Government,Easy,Conceptual,,eleventh-schedule|panchayat
Which Schedule deals with municipalities?,Tenth Schedule,Twelfth Schedule,Eleventh Schedule,Seventh Schedule,1,The Twelfth Schedule covers municipal functions.,APPSC,Polity,Local Government,Easy,Conceptual,,twelfth-schedule|municipalities
