question,option_a,option_b,option_c,option_d,correct_option,explanation,exam,topic,subtopic,difficulty,type,year,tags
"Consider the following types of vehicles: I. Full battery electric vehicles II. Hydrogen fuel cell vehicles III. Fuel cell-electric hybrid vehicles How many of the above are considered as alternative powertrain vehicles?","Only one","Only two","All the three","None","C","Alternative powertrains are powertrains not based exclusively on the internal combustion engine. Main options include full battery electrics, hybrids, plug-in hybrids, and hydrogen fuel cell vehicles.","UPSC","Science","Energy","Easy","PYQ","2025","types|vehicles|powertrain|science|energy"
"With reference to Unmanned Aerial Vehicles (UAVs), consider the following statements: I. All types of UAVs can do vertical landing. II. All types of UAVs can do automated hovering. III. All types of UAVs can use battery only as a source of power supply. How many of the statements given above are correct?","Only one","Only two","All the three","None","D","None of the statements is correct. Only VTOL UAVs can land vertically, only some UAVs can hover, and many UAVs use hybrid fuel, petrol, or other power systems instead of battery only.","UPSC","Science","Science and Technology","Hard","PYQ","2025","uav|drone|science|technology|aircraft"
"In the context of electric vehicle batteries, consider the following elements: I. Cobalt II. Graphite III. Lithium IV. Nickel How many of the above usually make up battery cathodes?","Only one","Only two","Only three","All the four","C","In common EV batteries, lithium, cobalt, and nickel are used in cathode chemistry. Graphite is typically used in the anode.","UPSC","Science","Energy","Easy","PYQ","2025","ev|battery|cathode|science|energy"
"Consider the following: I. Cigarette butts II. Eyeglass lenses III. Car tyres How many of them contain plastic?","Only one","Only two","All the three","None","C","All three contain plastic or plastic polymers. Cigarette filters are commonly cellulose acetate, many eyeglass lenses use plastic polymers, and car tyres contain synthetic rubber and plastic-derived compounds.","UPSC","General Studies","General","Easy","PYQ","2025","plastic|pollution|general|materials|daily life"
"Consider the following substances: I. Ethanol II. Nitroglycerine III. Urea Coal gasification technology can be used in the production of how many of them?","Only one","Only two","All the three","None","B","Coal gasification produces syngas, which can be used to produce chemicals such as ethanol and urea. Nitroglycerine is not a standard product of coal gasification.","UPSC","Science","Energy","Easy","PYQ","2025","coal gasification|ethanol|urea|science|energy"
"What is the common characteristic of the chemical substances generally known as CL-20, HMX and LLM-105, which are sometimes talked about in media?","These are alternatives to hydro-fluorocarbon refrigerants","These are explosives in military weapons","These are high-energy fuels for cruise missiles","These are fuels for rocket propulsion","B","CL-20, HMX, and LLM-105 are high-energy explosive compounds discussed mainly in defence and military contexts.","UPSC","General Studies","General","Easy","PYQ","2025","explosives|defence|chemicals|general|military"
"Consider the following statements: I. It is expected that Majorana 1 chip will enable quantum computing. II. Majorana 1 chip has been introduced by Amazon Web Services (AWS). III. Deep learning is a subset of machine learning. Which of the statements given above are correct?","I and II only","II and III only","I and III only","I, II and III","C","Statement I is correct. Statement II is incorrect because Majorana 1 was introduced by Microsoft, not AWS. Statement III is correct because deep learning is a subset of machine learning.","UPSC","Science","Science and Technology","Hard","PYQ","2025","quantum computing|majorana|deep learning|science|technology"
"Consider the following statements: I. No virus can survive in ocean waters. II. No virus can infect bacteria. III. No virus can change the cellular transcriptional activity in host cells. How many of the statements given above are correct?","Only one","Only two","All the three","None","D","None is correct. Viruses survive abundantly in oceans, bacteriophages infect bacteria, and many viruses alter host cellular transcription.","UPSC","Science","Biology","Hard","PYQ","2025","virus|marine biology|bacteriophage|science|biology"
"Consider the following statements: Statement I: Activated carbon is a good and an attractive tool to remove pollutants from effluent streams and to remediate contaminants from various industries. Statement II: Activated carbon exhibits a large surface area and a strong potential for adsorbing heavy metals. Statement III: Activated carbon can be easily synthesized from environmental wastes with high carbon content. Which one of the following is correct in respect of the above statements?","Both Statement II and Statement III are correct and both of them explain Statement I","Both Statement II and Statement III are correct but only one of them explains Statement I","Only one of the Statements II and III is correct and that explains Statement I","Neither Statement II nor Statement III is correct","A","Activated carbon is effective because of its high surface area and adsorption capacity, and it can also be produced from carbon-rich wastes, making it a practical remediation tool.","UPSC","Environment","Pollution","Medium","PYQ","2025","activated carbon|effluent|pollution|environment|adsorption"
"Consider the following statements: Statement I: Studies indicate that carbon dioxide emissions from cement industry account for more than 5% of global carbon emissions. Statement II: Silica-bearing clay is mixed with limestone while manufacturing cement. Statement III: Limestone is converted into lime during clinker production for cement manufacturing. Which one of the following is correct in respect of the above statements?","Both Statement II and Statement III are correct and both of them explain Statement I","Both Statement II and Statement III are correct but only one of them explains Statement I","Only one of the Statements II and III is correct and that explains Statement I","Neither Statement II nor Statement III is correct","B","The cement industry emits large amounts of CO2. Statement II is correct but does not itself explain emissions as directly as Statement III, because calcination of limestone into lime releases CO2 chemically.","UPSC","Environment","Environment","Medium","PYQ","2025","cement|carbon emissions|clinker|environment|industry"
