question,option_a,option_b,option_c,option_d,correct_option,explanation,exam,topic,subtopic,difficulty,type,year,tags
"Water can dissolve more substances than any other liquid because","it is dipolar in nature","it is a good conductor of heat","it has high value of specific heat","it is an oxide of hydrogen","A","Water is a polar molecule with uneven charge distribution. Its dipolar nature allows it to dissolve a wide variety of substances.","UPSC","Science & Tech","Chemistry - Properties of Water","Easy","PYQ","2021","water,chemistry,polarity,dissolving"
"With reference to street-lighting how do sodium lamps differ from LED lamps? 1. Sodium lamps produce light in 360 degrees but it is not so in the case of LED lamps. 2. As street lights sodium lamps have longer life span than LED lamps. 3. The spectrum of visible light from sodium lamps is almost monochromatic while LED lamps offer significant colour advantages in street-lighting.","3 only","2 only","1 and 3 only","1 and 2 and 3","C","LEDs actually last longer than sodium lamps. Sodium lamps emit directional light while LEDs emit 360 degrees. Sodium lamp light is nearly monochromatic whereas LEDs offer better colour rendering.","UPSC","Science & Tech","Physics - Light and Optics","Medium","PYQ","2021","LED,sodium lamp,street lighting,monochromatic"
"The term ACE2 is talked about in the context of","genes introduced in the genetically modified plants","development of India's own satellite navigation system","radio collars for wildlife tracking","spread of viral diseases","D","ACE2 (angiotensin converting enzyme 2) is the receptor protein that SARS-CoV-2 uses to enter human cells and cause COVID-19.","UPSC","Science & Tech","Biology - Virology","Easy","PYQ","2021","ACE2,COVID-19,coronavirus,virus receptor"
"Bisphenol A (BPA) a cause of concern is a structural/key component in the manufacture of which of the following kinds of plastics?","Low-density polyethylene","Polycarbonate","Polyethylene terephthalate","Polyvinyl chloride","B","BPA is primarily used in manufacturing polycarbonate plastics and epoxy resins commonly found in water bottles and food containers.","UPSC","Science & Tech","Chemistry - Plastics and Polymers","Medium","PYQ","2021","BPA,Bisphenol A,polycarbonate,plastic,health hazard"
"Triclosan considered harmful when exposed to high levels for a long time is most likely present in which of the following?","Food preservatives","Fruit-ripening substances","Reused plastic containers","Toiletries","D","Triclosan is an antibacterial and antifungal agent found in consumer toiletry products like toothpaste soaps and detergents.","UPSC","Science & Tech","Chemistry - Chemicals in Daily Life","Easy","PYQ","2021","triclosan,toiletries,antibacterial,chemical hazard"
"Which one of the following is a reason why astronomical distances are measured in light-years?","Distances among stellar bodies do not change","Gravity of stellar bodies does not change","Light always travels in straight line","Speed of light is always same","D","The speed of light in vacuum is a universal constant making it a reliable and consistent unit for measuring vast astronomical distances.","UPSC","Science & Tech","Physics - Astronomy","Easy","PYQ","2021","light-year,astronomy,speed of light,distance measurement"
"With reference to recent developments regarding Recombinant Vector Vaccines consider the following statements: 1. Genetic engineering is applied in the development of these vaccines. 2. Bacteria and viruses are used as vectors. Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2","C","Recombinant vector vaccines use genetic engineering to insert antigen-coding DNA into bacterial or viral vectors which then produce the antigen to trigger immunity.","UPSC","Science & Tech","Biology - Biotechnology and Vaccines","Medium","PYQ","2021","recombinant vaccine,vector vaccine,genetic engineering,biotechnology"
"In the context of hereditary diseases consider the following statements: 1. Passing on mitochondrial diseases from parent to child can be prevented by mitochondrial replacement therapy either before or after in vitro fertilization of egg. 2. A child inherits mitochondrial diseases entirely from mother and not from father.","1 only","2 only","Both 1 and 2","Neither 1 nor 2","A","MRT can prevent mitochondrial disease transmission and can be done before or after IVF. However mitochondrial diseases are usually inherited from mother but can in rare cases also come from father, so Statement 2 is incorrect.","UPSC","Science & Tech","Biology - Genetics and Heredity","Hard","PYQ","2021","mitochondrial disease,MRT,hereditary,genetics,IVF"
"Bollgard I and Bollgard II technologies are mentioned in the context of","clonal propagation of crop plants","developing genetically modified crop plants","production of plant growth substances","production of biofertilizers","B","Bollgard is India's first biotech cotton technology using Bt genes (Cry1Ac and Cry2Ab) for insect resistance, approved by GEAC in 2002 and 2006.","UPSC","Science & Tech","Biology - Biotechnology and Agriculture","Medium","PYQ","2021","Bollgard,Bt cotton,GM crops,GEAC,biotechnology"
"In a pressure cooker the temperature at which the food is cooked depends mainly upon which of the following? 1. Area of the hole in the lid 2. Temperature of the flame 3. Weight of the lid","1 and 2 only","2 and 3 only","1 and 3 only","1 and 2 and 3","A","The hole size controls steam release affecting internal pressure and thus temperature. Flame temperature also directly affects cooking temperature. Lid weight does not affect pressure inside.","UPSC","Science & Tech","Physics - Thermodynamics","Medium","PYQ","2021","pressure cooker,thermodynamics,steam pressure,cooking"
"Consider the following: 1. Bacteria 2. Fungi 3. Virus. Which of the above can be cultured in artificial/synthetic medium?","1 and 2 only","2 and 3 only","1 and 3 only","1 and 2 and 3","A","Bacteria and fungi can be grown on artificial/synthetic media. Viruses cannot be cultured on artificial media as they need living host cells to replicate.","UPSC","Science & Tech","Biology - Microbiology","Easy","PYQ","2021","bacteria,fungi,virus,culture medium,microbiology"
"Consider the following statements: 1. Adenoviruses have single-stranded DNA genomes whereas retroviruses have double-stranded DNA genomes. 2. Common cold is sometime caused by an adenovirus whereas AIDS is caused by a retrovirus.","1 only","2 only","Both 1 and 2","Neither 1 nor 2","B","Statement 1 is reversed: adenoviruses have double-stranded DNA while retroviruses have single-stranded RNA. Statement 2 is correct: adenoviruses can cause cold-like symptoms and HIV (a retrovirus) causes AIDS.","UPSC","Science & Tech","Biology - Virology","Hard","PYQ","2021","adenovirus,retrovirus,AIDS,common cold,DNA,RNA"
"Which one of the following is used in preparing a natural mosquito repellent?","Congress grass","Elephant Grass","Lemongrass","Nut Grass","C","Lemongrass contains citronella oil which is a natural and effective mosquito repellent, repelling up to 95% of mosquitoes for about 2.5 hours.","UPSC","Environment","Biodiversity - Plants and their Uses","Easy","PYQ","2021","lemongrass,citronella,mosquito repellent,natural repellent"
"Which one of the following ancient towns is well-known for its elaborate system of water harvesting and management by building a series of dams and channelizing water into connected reservoirs?","Dholavira","Kalibangan","Rakhigarhi","Ropar","A","Dholavira in Gujarat (Indus Valley Civilization site) had an advanced water management system using dams and channels fed by two seasonal streams, Mansar and Manhar.","UPSC","History","Ancient India - Indus Valley Civilization","Easy","PYQ","2021","Dholavira,Indus Valley,water harvesting,Kutch,ancient India"
"From the decline of Guptas until the rise of Harshavardhana in the early seventh century which of the following kingdoms were holding power in Northern India? 1. The Guptas of Magadha 2. The Paramaras of Malwa 3. The Pushyabhutis of Thanesar 4. The Maukharis of Kanauj 5. The Yadavas of Devagiri 6. The Maitrakas of Valabhi","1 and 2 and 5 only","1 and 3 and 4 and 6 only","2 and 3 and 4 only","5 and 6 only","B","After the Guptas, northern India was ruled by dynasties including the Pushyabhutis, Maukharis, and Maitrakas. Paramaras ruled in 9th-14th century and Yadavas in Deccan in 12th-14th century so those are wrong.","UPSC","History","Ancient India - Post-Gupta Period","Hard","PYQ","2021","Harshavardhana,Guptas,Maukharis,Pushyabhutis,Maitrakas,post-Gupta"
"With reference to the history of ancient India which of the following statements is/are correct? 1. Mitakshara was the civil law for upper castes and Dayabhaga was the civil law for lower castes. 2. In the Mitakshara system sons can claim right to property during the father's lifetime whereas in Dayabhaga the right arises only after the father's death. 3. The Mitakshara system deals only with property held by male members of a family.","1 and 2","2 only","1 and 3","3 only","B","Both Mitakshara and Dayabhaga apply to upper castes. In Mitakshara sons have property rights during the father's lifetime but in Dayabhaga only after his death. Both systems cover women's property too.","UPSC","History","Ancient India - Law and Jurisprudence","Hard","PYQ","2021","Mitakshara,Dayabhaga,Hindu law,property rights,ancient India"
"With reference to medieval India which one of the following is the correct sequence in ascending order in terms of size?","Paragana-Sarkar-Suba","Sarkar-Paragana-Suba","Suba-Sarkar-Paragana","Paragana-Suba-Sarkar","A","In the Mughal administrative system the ascending order of territorial units was: Paragana (group of villages) then Sarkar then Suba (province).","UPSC","History","Medieval India - Mughal Administration","Easy","PYQ","2021","Mughal administration,Paragana,Sarkar,Suba,medieval India"
"According to the Portuguese writer Nuniz the women in Vijayanagara Empire were expert in which of the following areas? 1. Wrestling 2. Astrology 3. Accounting 4. Soothsaying","1 and 2 and 3 only","1 and 3 and 4 only","2 and 4 only","1 and 2 and 3 and 4","D","According to Portuguese traveller Nuniz the Vijayanagara kingdom had women wrestlers, astrologers, soothsayers, clerks and accountants, so all four statements are correct.","UPSC","History","Medieval India - Vijayanagara Empire","Medium","PYQ","2021","Vijayanagara,women,Nuniz,Portuguese,medieval India"
