question,option_a,option_b,option_c,option_d,correct_option,explanation,exam,topic,subtopic,difficulty,type,year,tags
"A cube is to be cut into 64 identical smaller cubes. What is the minimum number of cuts required?","6","9","12","18","B","To get 64 identical cubes, the cube must be divided into 4 equal parts along each of the 3 dimensions. That requires 3 cuts per dimension, for a total of 9 cuts.","UPSC","Quantitative Aptitude","3D Geometry","Easy","PYQ","2024","cube|cutting|3D geometry|minimum cuts|spatial reasoning"
"A work is completed in 6k days. By what percentage must the number of men be increased to complete the work in 5k days?","10%","15%","20%","25%","C","For the same work, men and days are inversely proportional. Required increase factor is 6k/5k = 6/5, so the increase is 20%.","UPSC","Quantitative Aptitude","Work and Time","Medium","PYQ","2024","work and time|men and days|percentage increase|inverse proportion|efficiency"
"222^333 + 333^222 is divisible by which of the following?","3 and 37 but not 2","3 but not 37 and not 2","37 but not 3 and not 2","Both 2 and 37","A","Both 222 and 333 are divisible by 3 and by 37, so both powers are divisible by 3 and 37 and so is their sum. The sum is odd, so it is not divisible by 2.","UPSC","Quantitative Aptitude","Number Theory","Hard","PYQ","2024","divisibility|prime numbers|number theory|powers|222 333"
"A milkman adds water to honey to gain 20% profit. What percentage of water must be added to the honey?","20%","25%","30%","33.33%","A","If the mixture is sold at the cost price of pure honey, then adding water equal to 20% of the original honey quantity gives a 20% profit.","UPSC","Quantitative Aptitude","Profit and Loss","Medium","PYQ","2024","profit and loss|mixture|adulteration|percentage|profit"
"When 421 and 427 are each divided by the same number the remainder is 1 in both cases. How many such divisors are possible?","2","3","4","5","C","If the remainder is 1 in both cases, the divisor must divide 420 and 426. Their gcd is 6, whose positive divisors are 1, 2, 3, and 6, so there are 4 such divisors.","UPSC","Quantitative Aptitude","Number Theory","Medium","PYQ","2024","divisibility|remainder|HCF|GCD|number theory"
"Two cans A and B contain 399 litres of petrol and 532 litres of diesel respectively. What are the possible bottle sizes in litres that can bottle both without any remainder?","1 7 and 19 only","1 7 19 and 133","7 19 and 133 only","19 and 133 only","B","The bottle size must divide both 399 and 532. Their gcd is 133, whose divisors are 1, 7, 19, and 133.","UPSC","Quantitative Aptitude","HCF and LCM","Medium","PYQ","2024","HCF|GCD|bottles|divisors|Euclidean algorithm"
"All possible prime numbers less than 10 are chosen. S is the sum of any three of them. Which of the following can be the unit digit of S? 1. 0  2. 9  3. 5","Only 1","Only 3","Only 1 and 3","Only 2 and 3","C","The primes less than 10 are 2, 3, 5, and 7. Possible sums of three are 10, 12, 14, and 15, so the possible unit digits are 0, 2, 4, and 5. Thus only 0 and 5 are possible from the given list.","UPSC","Quantitative Aptitude","Number Theory","Medium","PYQ","2024","prime numbers|unit digit|sum|combinations|number theory"
"Let X be a two-digit number and Y be obtained by interchanging its digits. If X + Y = 99 how many values of X are possible?","6","7","8","9","C","If X = 10a + b and Y = 10b + a, then X + Y = 11(a + b) = 99, so a + b = 9. Since both X and Y are two-digit numbers, both digits must be non-zero, giving 8 possibilities for X.","UPSC","Quantitative Aptitude","Number Theory","Medium","PYQ","2024","two-digit number|digit interchange|number theory|counting|algebra"
"Weight of 6 boys = 7 girls = 3 men = 4 women. Average weight of women is 63 kg. What is the weight of one boy?","36 kg","42 kg","48 kg","54 kg","B","Four women weigh 4 x 63 = 252 kg. That equals the weight of 6 boys, so one boy weighs 252/6 = 42 kg.","UPSC","Quantitative Aptitude","Ratio and Proportion","Easy","PYQ","2024","ratio|weight|proportion|average|comparison"
"How many times do the hands of a clock coincide between 10:00 AM and 2:00 PM?","3","4","5","6","A","The hands coincide every 65 5/11 minutes. Between 10:00 AM and 2:00 PM, they coincide 3 times.","UPSC","Quantitative Aptitude","Clock Problems","Medium","PYQ","2024","clock|hands|coincide|time|relative speed"
